base_feature,mean_abs_shap
remainder__AMT_GOODS_PRICE,0.7775543925970609
remainder__AMT_CREDIT,0.6642551344339052
num__EXT_SOURCE_3,0.3638493735492206
num__EXT_SOURCE_2,0.3397501181461063
num__ORG_RISK,0.12349528354972668
remainder__AMT_ANNUITY,0.11661311475039654
num__EXT_SOURCE_1,0.11186489670686027
remainder__NAME_EDUCATION_ENC,0.10526149470466327
num__EMPLOYED_YEARS,0.08882862507070065
remainder__CREDIT_INCOME_RATIO,0.05805138133665301
cat__CODE_GENDER_M,0.049972126333018264
remainder__DAYS_ID_PUBLISH,0.041260479444326155
remainder__DAYS_LAST_PHONE_CHANGE,0.03720618469193627
num__AGE_YEARS,0.03481357427563629
remainder__HAS_CAR,0.03068097250217599
remainder__FLAG_DOCUMENT_3,0.027263393079182695
cat__NAME_FAMILY_STATUS_Married,0.02364718171467491
cat__NAME_EDUCATION_TYPE_Secondary / secondary special,0.022978165562277875
cat__NAME_EDUCATION_TYPE_Higher education,0.022977950970111728
remainder__DAYS_REGISTRATION,0.022346982777114003
remainder__REGION_RATING_CLIENT_W_CITY,0.02094809052217026
remainder__CNT_FAM_MEMBERS,0.020912709255222293
remainder__REGION_RATING_CLIENT,0.018922676772354277
remainder__FLAG_WORK_PHONE,0.017134727422705456
remainder__HOUR_APPR_PROCESS_START,0.016147495289182016
remainder__REG_CITY_NOT_WORK_CITY,0.013517834566831647
remainder__AMT_REQ_CREDIT_BUREAU_QRT,0.013420971921552517
remainder__AMT_INCOME_LOG,0.011524624279163585
remainder__DEF_30_CNT_SOCIAL_CIRCLE,0.01150866167324247
num__INCOME_RISK,0.011249006389990364
remainder__AMT_REQ_CREDIT_BUREAU_YEAR,0.010569967564487014
remainder__SK_ID_CURR,0.010246803672452431
remainder__AMT_REQ_CREDIT_BUREAU_MON,0.009944148606406219
cat__NAME_CONTRACT_TYPE_Revolving loans,0.008953409110178369
remainder__OWN_CAR_AGE,0.007820616758384193
remainder__DEF_60_CNT_SOCIAL_CIRCLE,0.0071282389631768155
remainder__FLAG_PHONE,0.006388947535057656
remainder__LIVE_CITY_NOT_WORK_CITY,0.005762856060297402
cat__NAME_FAMILY_STATUS_Single / not married,0.005628035109212271
remainder__OBS_30_CNT_SOCIAL_CIRCLE,0.005082067737968244
remainder__IS_SINGLE,0.004941818820200575
remainder__REG_CITY_NOT_LIVE_CITY,0.004797741876408017
cat__WEEKDAY_APPR_PROCESS_START_MONDAY,0.004211884565980154
cat__NAME_HOUSING_TYPE_House / apartment,0.003950143674728773
remainder__AMT_CREDIT_LOG,0.0038399061044902647
remainder__HAS_REALTY,0.0037382212894535253
cat__WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0031719294312972505
remainder__FLAG_DOCUMENT_8,0.0029114791341533306
num__AMT_INCOME_TOTAL,0.002768570315543876
cat__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0025475762235065346
cat__WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0022662708728929076
remainder__AMT_ANNUITY_LOG,0.00216291241310842
remainder__OBS_60_CNT_SOCIAL_CIRCLE,0.0014899522912648188
remainder__AMT_GOODS_LOG,0.0010303135113686741
remainder__FLOORSMAX_MEDI,0.0010295609102983943
remainder__FLOORSMAX_AVG,0.0010247919631273083
